id,Area,StreetName,DateTime,TotalVehiclesParked,TotalParkingSpace,Occupancy,dayOfWeek
1,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 18:00:00,8,12,0.6667,Thursday
2,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 15:00:00,5,11,0.4545,Wednesday
3,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 13:00:00,5,11,0.4545,Monday
4,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 11:00:00,5,11,0.4545,Wednesday
5,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 13:00:00,10,15,0.6667,Thursday
6,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 21:00:00,5,11,0.4545,Monday
7,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 14:00:00,10,15,0.6667,Thursday
8,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 20:00:00,10,15,0.6667,Thursday
9,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 11:00:00,12,16,0.75,Thursday
10,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 09:00:00,5,11,0.4545,Wednesday
11,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 12:00:00,12,16,0.75,Thursday
12,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 17:00:00,8,12,0.6667,Thursday
13,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 12:00:00,5,11,0.4545,Wednesday
14,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-11-03 15:00:00,5,11,0.4545,Tuesday
15,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 18:00:00,12,16,0.75,Thursday
16,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 12:00:00,5,11,0.4545,Monday
17,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2018-08-05 20:00:00,5,11,0.4545,Sunday
18,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 18:00:00,5,11,0.4545,Wednesday
19,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 20:00:00,5,11,0.4545,Wednesday
20,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 15:00:00,10,15,0.6667,Thursday
21,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 12:00:00,10,15,0.6667,Thursday
22,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 13:00:00,5,11,0.4545,Wednesday
23,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 13:00:00,8,12,0.6667,Thursday
24,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 16:00:00,5,11,0.4545,Monday
25,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 14:00:00,10,14,0.7143,Thursday
26,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 20:00:00,10,14,0.7143,Thursday
27,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 19:00:00,5,11,0.4545,Wednesday
28,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 17:00:00,12,16,0.75,Thursday
29,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 23:00:00,10,14,0.7143,Thursday
30,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 10:00:00,5,11,0.4545,Monday
31,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2018-08-05 21:00:00,15,33,0.4545,Sunday
32,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 19:00:00,10,15,0.6667,Thursday
33,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 10:00:00,8,12,0.6667,Thursday
34,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 15:00:00,8,12,0.6667,Thursday
35,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 09:00:00,8,12,0.6667,Thursday
36,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 11:00:00,10,15,0.6667,Thursday
37,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 16:00:00,10,15,0.6667,Thursday
38,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 22:00:00,10,14,0.7143,Thursday
39,12th Avenue,13TH AVE BETWEEN E JAMES CT AND E CHERRY ST,2017-04-20 12:00:00,5,10,0.5,Thursday
40,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 17:00:00,10,15,0.6667,Thursday
41,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 13:00:00,12,16,0.75,Thursday
42,12th Avenue,13TH AVE BETWEEN E JEFFERSON ST AND E BARCLAY CT,2017-04-20 18:00:00,10,15,0.6667,Thursday
43,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 15:00:00,5,11,0.4545,Monday
44,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 14:00:00,12,16,0.75,Thursday
45,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 21:00:00,10,14,0.7143,Thursday
46,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 19:00:00,10,14,0.7143,Thursday
47,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 17:00:00,5,11,0.4545,Wednesday
48,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2014-08-04 22:00:00,5,11,0.4545,Monday
49,12th Avenue,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,2017-04-20 10:00:00,12,16,0.75,Thursday
50,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 08:00:00,8,12,0.6667,Thursday
51,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 11:00:00,8,12,0.6667,Thursday
52,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 16:00:00,8,12,0.6667,Thursday
53,12th Avenue,12TH AVE BETWEEN E MARION ST AND E SPRING ST,2015-03-11 10:00:00,5,11,0.4545,Wednesday
54,12th Avenue,13TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,2017-04-20 12:00:00,8,12,0.6667,Thursday
55,12th Avenue,13TH AVE BETWEEN E JAMES CT AND E CHERRY ST,2017-04-20 17:00:00,5,10,0.5,Thursday
56,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 19:00:00,9,13,0.6923,Wednesday
57,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 13:00:00,9,13,0.6923,Wednesday
58,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 18:00:00,9,13,0.6923,Wednesday
59,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 12:00:00,9,13,0.6923,Wednesday
60,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 17:00:00,9,13,0.6923,Wednesday
61,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 09:00:00,9,13,0.6923,Wednesday
62,15th Avenue,15TH AVE E BETWEEN E REPUBLICAN N ST AND E MERCER S ST,2016-04-20 14:00:00,9,13,0.6923,Wednesday
63,Ballard,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2018-04-19 18:00:00,5,10,0.5,Thursday
64,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2014-07-05 12:00:00,5,11,0.4545,Saturday
65,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2015-07-15 17:00:00,5,11,0.4545,Wednesday
66,Ballard,22ND AVE NW BETWEEN NW 56TH ST AND NW 57TH ST,2016-07-04 18:00:00,10,15,0.6667,Monday
67,Ballard,BALLARD AVE NW BETWEEN 22ND AVE NW AND NW MARKET ST,2017-03-05 09:00:00,10,15,0.6667,Sunday
68,Ballard,RUSSELL AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,2015-07-15 08:00:00,5,11,0.4545,Wednesday
69,Ballard,RUSSELL AVE NW BETWEEN 20TH AVE NW AND NW MARKET ST,2018-04-19 21:00:00,10,15,0.6667,Thursday
70,Ballard,NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,2016-07-04 12:00:00,15,17,0.8824,Monday
71,Ballard,BALLARD AVE NW BETWEEN NW BALLARD WAY AND NW 48TH ST,2014-07-05 15:00:00,9,13,0.6923,Saturday
72,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2015-07-15 20:00:00,12,16,0.75,Wednesday
73,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2017-03-05 13:00:00,9,13,0.6923,Sunday
74,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2018-04-19 08:00:00,9,13,0.6923,Thursday
75,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2015-07-15 11:00:00,10,15,0.6667,Wednesday
76,Ballard,LEARY AVE NW BETWEEN NW VERNON PL AND NW MARKET ST,2017-05-03 15:00:00,5,11,0.4545,Wednesday
77,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2016-07-04 14:00:00,9,13,0.6923,Monday
78,Ballard,BALLARD AVE NW BETWEEN NW BALLARD WAY AND NW 48TH ST,2014-07-05 18:00:00,10,15,0.6667,Saturday
79,Ballard,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2017-03-05 17:00:00,15,18,0.8333,Sunday
80,Ballard,NW MARKET ST BETWEEN 20TH AVE NW AND RUSSELL AVE NW,2018-04-19 11:00:00,10,15,0.6667,Thursday
81,Ballard,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,2016-07-04 08:00:00,10,15,0.6667,Monday
82,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2015-07-15 13:00:00,10,15,0.6667,Wednesday
83,Ballard,BALLARD AVE NW BETWEEN 20TH AVE NW AND NW VERNON PL,2018-04-19 11:00:00,5,11,0.4545,Thursday
84,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2014-07-05 21:00:00,9,13,0.6923,Saturday
85,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2018-04-19 14:00:00,15,19,0.7895,Thursday
86,Ballard,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2016-07-04 09:00:00,10,15,0.6667,Monday
87,Ballard,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,2014-07-05 10:00:00,15,20,0.75,Saturday
88,Ballard,LEARY AVE NW BETWEEN NW VERNON PL AND NW MARKET ST,2015-07-15 15:00:00,10,15,0.6667,Wednesday
89,Ballard,BALLARD AVE NW BETWEEN NW DOCK PL AND NW IONE PL,2016-07-04 17:00:00,10,15,0.6667,Monday
90,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2018-04-19 19:00:00,15,17,0.8824,Thursday
91,Ballard,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,2014-07-05 13:00:00,12,16,0.75,Saturday
92,Ballard,LEARY AVE NW BETWEEN NW IONE PL AND 20TH AVE NW,2015-07-15 18:00:00,15,18,0.8333,Wednesday
93,Ballard,NW MARKET ST BETWEEN TALLMAN AVE NW AND 20TH AVE NW,2017-03-05 10:00:00,10,15,0.6667,Sunday
94,Ballard,LEARY AVE NW BETWEEN NW IONE PL AND 20TH AVE NW,2015-07-15 09:00:00,15,18,0.8333,Wednesday
95,Ballard,NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,2018-04-19 22:00:00,15,19,0.7895,Thursday
96,Ballard,NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,2014-07-05 15:00:00,16,21,0.7619,Saturday
97,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2015-07-15 20:00:00,15,19,0.7895,Wednesday
98,Ballard,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,2017-03-05 14:00:00,9,13,0.6923,Sunday
99,Ballard,TALLMAN AVE NW BETWEEN NW CENTRAL PL AND NW MARKET ST,2018-04-19 08:00:00,15,19,0.7895,Thursday
100,Ballard,20TH AVE NW BETWEEN BALLARD AVE NW AND LEARY AVE NW,2015-07-15 12:00:00,9,13,0.6923,Wednesday
101,Ballard,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,2017-05-03 21:00:00,20,23,0.8696,Wednesday
