Elmntkey,Study_Area,Area_ID,Day_of_Week,Time,Parking_Spaces,Total_Vehicle_Count
1578,12th Ave,1,3,0.67,14,13
24553,12th Ave,1,3,0,14,5
24553,12th Ave,1,4,0.17,14,14
24557,12th Ave,1,5,1.25,11,10
46906,12th Ave,1,5,0.58,16,7
1814,12th Ave,1,5,0.67,15,10
46729,12th Ave,1,4,0.08,14,4
24553,12th Ave,1,3,1.25,14,7
24557,12th Ave,1,4,0.58,22,22
46729,12th Ave,1,3,0.83,14,12
24554,12th Ave,1,3,0.75,12,9
24557,12th Ave,1,5,0.75,11,11
1578,12th Ave,1,4,0.58,14,14
24558,12th Ave,1,3,1.08,13,9
1577,12th Ave,1,3,1.17,16,6
1577,12th Ave,1,4,0.67,16,14
69646,12th Ave,1,5,1.17,14,1
24557,12th Ave,1,3,0.75,22,19
1577,12th Ave,1,4,0.33,16,16
24557,12th Ave,1,3,0.42,22,18
24553,12th Ave,1,3,0.75,14,10
24553,12th Ave,1,3,1,14,11
69645,12th Ave,1,5,0.92,12,8
1578,12th Ave,1,3,0.17,14,11
46729,12th Ave,1,4,0.42,14,14
24554,12th Ave,1,3,0.25,12,12
1814,12th Ave,1,5,0.42,15,12
46729,12th Ave,1,4,0.5,14,12
69645,12th Ave,1,5,0.67,12,10
24557,12th Ave,1,3,0.33,22,20
1577,12th Ave,1,3,0.17,16,13
24553,12th Ave,1,4,0.5,14,12
46906,12th Ave,1,5,0.92,16,9
24557,12th Ave,1,5,0.25,11,8
24553,12th Ave,1,3,0.92,14,11
24554,12th Ave,1,4,0.67,12,10
24554,12th Ave,1,4,0.17,12,16
69646,12th Ave,1,5,0.08,14,14
24557,12th Ave,1,5,0.83,11,11
24558,12th Ave,1,3,0.83,13,13
1577,12th Ave,1,3,0.33,16,14
69645,12th Ave,1,5,0.08,12,10
24553,12th Ave,1,3,0.5,14,13
69645,12th Ave,1,5,0.33,12,11
69645,12th Ave,1,5,0.5,12,9
1578,12th Ave,1,3,0.92,14,15
46729,12th Ave,1,3,0.33,14,8
24557,12th Ave,1,3,0.67,22,15
24557,12th Ave,1,5,1.08,11,11
24558,12th Ave,1,3,0.25,13,5
46906,12th Ave,1,5,0.33,16,13
46729,12th Ave,1,4,0.75,14,14
46729,12th Ave,1,3,0.75,14,7
69646,12th Ave,1,5,0.33,14,14
69645,12th Ave,1,5,0.75,12,11
1577,12th Ave,1,3,0.67,16,11
69646,12th Ave,1,5,0.92,14,10
24557,12th Ave,1,5,0.92,11,12
