Elmntkey,Study_Area,Area_ID,Day_of_Week,Time,Parking_Spaces,Total_Vehicle_Count
1578,12th Ave,1,3,0.67,14,13
24557,12th Ave,1,5,1.25,11,10
1814,12th Ave,1,5,0.67,15,10
46729,12th Ave,1,3,0.83,14,12
1577,12th Ave,1,4,0.67,16,14
69646,12th Ave,1,5,1.17,14,1
24557,12th Ave,1,3,0.75,22,19
24557,12th Ave,1,3,0.42,22,18
24553,12th Ave,1,3,0.75,14,10
24553,12th Ave,1,3,1,14,11
1578,12th Ave,1,3,0.17,14,11
1814,12th Ave,1,5,0.42,15,12
46729,12th Ave,1,4,0.5,14,12
69645,12th Ave,1,5,0.67,12,10
24557,12th Ave,1,3,0.33,22,20
1577,12th Ave,1,3,0.17,16,13
24553,12th Ave,1,4,0.5,14,12
24553,12th Ave,1,3,0.92,14,11
24554,12th Ave,1,4,0.67,12,10
1577,12th Ave,1,3,0.33,16,14
69645,12th Ave,1,5,0.08,12,10
24553,12th Ave,1,3,0.5,14,13
69645,12th Ave,1,5,0.33,12,11
24557,12th Ave,1,3,0.67,22,15
46906,12th Ave,1,5,0.33,16,13
69645,12th Ave,1,5,0.75,12,11
1577,12th Ave,1,3,0.67,16,11
69646,12th Ave,1,5,0.92,14,10
1577,12th Ave,1,3,0.75,16,14
24557,12th Ave,1,3,0.58,22,14
46906,12th Ave,1,5,0.42,16,13
46729,12th Ave,1,3,0.92,14,11
24553,12th Ave,1,4,1.08,14,12
24553,12th Ave,1,3,0.17,14,11
1577,12th Ave,1,4,0.25,16,14
69646,12th Ave,1,5,0.83,14,12
1578,12th Ave,1,3,0.08,14,10
46729,12th Ave,1,4,0,14,0
24557,12th Ave,1,5,0.33,11,10
24553,12th Ave,1,3,0.83,14,11
69646,12th Ave,1,5,1,14,13
24557,12th Ave,1,3,0.17,22,21
24557,12th Ave,1,3,0,22,11
24557,12th Ave,1,4,0.67,22,18
24553,12th Ave,1,4,0.08,14,10
1578,12th Ave,1,3,1,14,12
1577,12th Ave,1,4,0.5,16,14
46729,12th Ave,1,3,0.5,14,10
46906,12th Ave,1,5,0.83,16,11
1578,12th Ave,1,3,1.08,14,12
1578,12th Ave,1,3,0.58,14,13
69646,12th Ave,1,5,0.58,14,13
24557,12th Ave,1,5,0.08,11,10
24554,12th Ave,1,3,0.83,12,10
1814,12th Ave,1,5,0.58,15,12
1578,12th Ave,1,4,0.17,14,12
46906,12th Ave,1,5,0.17,16,12
24558,12th Ave,1,3,0.92,13,12
24557,12th Ave,1,4,0.08,22,20
46906,12th Ave,1,5,0.25,16,11
24557,12th Ave,1,5,0.17,11,10
1577,12th Ave,1,3,0.25,16,13
24557,12th Ave,1,5,1.17,11,10
1577,12th Ave,1,4,0.08,16,14
24554,12th Ave,1,3,0.67,12,11
1577,12th Ave,1,3,0.08,16,13
1578,12th Ave,1,3,0.75,14,12
24554,12th Ave,1,3,0.33,12,11
24553,12th Ave,1,3,0.33,14,13
46906,12th Ave,1,5,0.75,16,13
24557,12th Ave,1,3,0.25,22,21
24557,12th Ave,1,3,1.17,22,14
24553,12th Ave,1,3,0.25,14,13
1578,12th Ave,1,4,0.75,14,10
46729,12th Ave,1,4,0.67,14,12
1577,12th Ave,1,4,0.42,16,14
1814,12th Ave,1,5,0.5,15,10
69645,12th Ave,1,5,0.58,12,11
24554,12th Ave,1,4,0.33,12,10
69645,12th Ave,1,5,0.42,12,11
46729,12th Ave,1,4,0.58,14,12
69646,12th Ave,1,5,0.42,14,13
24557,12th Ave,1,3,0.5,22,19
24553,12th Ave,1,4,0.25,14,12
46906,12th Ave,1,5,0.5,16,12
24554,12th Ave,1,3,0.17,12,11
24557,12th Ave,1,3,1.08,22,11
69645,12th Ave,1,5,0.25,12,11
1577,12th Ave,1,3,0.58,16,13
69646,12th Ave,1,5,1.25,14,0
24557,12th Ave,1,5,0.67,11,10
1814,12th Ave,1,5,1,15,13
24554,12th Ave,1,4,0.75,12,10
69645,12th Ave,1,5,0,12,10
1814,12th Ave,1,5,0.25,15,12
1578,12th Ave,1,4,1.08,14,10
1577,12th Ave,1,3,0.5,16,14
46729,12th Ave,1,3,0,14,0
69645,12th Ave,1,5,0.17,12,11
24558,12th Ave,1,3,0.42,13,10
24557,12th Ave,1,3,0.08,22,19
1814,12th Ave,1,5,0.75,15,13
24557,12th Ave,1,3,1.25,22,11
24557,12th Ave,1,5,0.5,11,10
24553,12th Ave,1,3,1.08,14,11
1577,12th Ave,1,4,0.75,16,14
69645,12th Ave,1,5,0.83,12,10
1814,12th Ave,1,5,0.92,15,14
1577,12th Ave,1,3,0.42,16,15
1578,12th Ave,1,3,0.25,14,13
69646,12th Ave,1,5,1.08,14,0
